word,timing,projecto
,,"{""Fst"": 1, ""Gxy"": 1, ""St1"": 1, ""St2"": 1}",
“おおいぬ座の首元にあたる星で”の後,post,"{""CMa"": 1}",
“こいぬ座の胴体にあたる星です。”の後,post,"{""CMi"": 1}",
“〜赤い星、ベテルギウスです。”の後,post,"{""Ori"": 1}",
“〜結んでできる星座、うさぎ座です。”の後,post,"{""Lep"": 1}",
“〜話しているうちに8月の星空が見えてきました。”の後,post,"{""CMa"": 0, ""CMi"": 0, ""Ori"": 0, ""Lep"": 0}",
“〜このひし形を結んでできる星座です。”の後,post,"{""Lyr"": 1}",
“〜わし座の頭にあたる星です。”の後,post,"{""Aql"": 1}",
“〜はくちょうの尾の部分に当たります。”の後,post,"{""Cyg"": 1}",
“〜先にあるこの星座の星座絵を出してみましょう。”の後,post,"{""Aqr"": 1}",
