word,timing,projector
,,"{""Fst"": 1, ""Gxy"": 1, ""St1"": 1, ""St2"": 1}"
松井5「この“秋の大四辺形”はペガスス座の胴体に当たります。<続く>」,「秋の大四辺形」,"{""Peg"": 1}"
「ペガススは大きな翼が生えた白い馬で、伝説の生き物です。今日(こんにち)では、ゲームなどでよく見かけますね」,post,"{""Peg"": 0}"
島崎6「〜これが、カシオペア座です。<続く>」,post,"{""Cas"": 1}"
「カシオペアは人の名前で、エチオピアという国の王妃でした。この後紹介するエチオピア王家を巡る神話では、彼女の自慢好きな性格が原因で痛い目を見ることになるのです」,post,"{""Cas"": 0}"
島崎7「〜これがケフェウス座です。<続く>」,post,"{""Cep"": 1}"
「ケフェウスは、エチオピアの国王、つまりカシオペアの旦那さんですね」,post,"{""Cep"": 0}"
島崎8「〜これがアンドロメダ座です。<続く>」,post,"{""And"": 1}"
「アルフェラッツを頭としているので、ちょうど、ペガススのお腹を枕に寝転がっているみたいですね。アンドロメダはエチオピアの王女で、先ほど紹介したケフェウスとカシオペアの娘です」,post,"{""And"": 0}"
島崎9「〜これは、くじら座の“デネブ・カイトス”という星です」,post,"{""Cet"": 1}"
松井9「〜恐ろしい化け物ですね」,post,"{""Set"": 0}"
島崎10「〜これがペルセウス座ですね。<続く>」,post,"{""Per"": 1}"
「英雄は遅れて登場する、という格言の如く、秋の夜遅い時間に姿を見せ始めます」,post,"{""Per"": 0}"
松井10「〜振り返ってみると、ペガスス座、カシオペア座、ケフェウス座、アンドロメダ座、くじら座、そして、ペルセウス座がありましたね」,ペガスス座,"{""Peg"": 1}"
松井10「〜振り返ってみると、ペガスス座、カシオペア座、ケフェウス座、アンドロメダ座、くじら座、そして、ペルセウス座がありましたね」,カシオペア座,"{""Cas"": 1}"
松井10「〜振り返ってみると、ペガスス座、カシオペア座、ケフェウス座、アンドロメダ座、くじら座、そして、ペルセウス座がありましたね」,ケフェウス座,"{""Cep"": 1}"
松井10「〜振り返ってみると、ペガスス座、カシオペア座、ケフェウス座、アンドロメダ座、くじら座、そして、ペルセウス座がありましたね」,アンドロメダ座,"{""And"": 1}"
松井10「〜振り返ってみると、ペガスス座、カシオペア座、ケフェウス座、アンドロメダ座、くじら座、そして、ペルセウス座がありましたね」,くじら座,"{""Cet"": 1}"
松井10「〜振り返ってみると、ペガスス座、カシオペア座、ケフェウス座、アンドロメダ座、くじら座、そして、ペルセウス座がありましたね」,ペルセウス座,"{""Per"": 1}"
島崎11「〜こうして、ペルセウスはアンドロメダを救ったのでした」,post,"{""Peg"": 0, ""Cas"": 0, ""Cep"": 0, ""And"": 0, ""Cet"": 0, ""Per"": 0}"
松井12「〜そう、これが有名な“オリオン座”です」,post,"{""Ori"": 1}"
松井13「今回はこのオリオン座を使って色々な星座を見つけていきましょう」,post,"{""Ori"": 0}"
島崎15「このシリウスは、おおいぬ座の鼻に当たる星です。<続く>」,おおいぬ座の,"{""CMa"": 1}"
「シリウス以外の星は暗いものが多いので星座を結ぶのが少し難しいかもしれませんね。このおおいぬは、先程登場したオリオンの猟犬とも言われています。」,post,"{""CMa"": 0}"
松井15「〜“こいぬ座”の尻尾に当たります。<続く>」,こいぬ座の,"{""CMi"": 1}"
「実はこいぬ座はプロキオンとそのそばの星を結ぶだけで出来る星座なんですよ。このふたつだけで“こいぬ”に見立ててしまうなんて、昔の人は想像力豊かだったんですね」,post,"{""CMi"": 0}"
松井16「〜そう、星占いでも有名な、“ふたご座”ですね」,post,"{""Gem"": 1}"
島崎17「〜ふたりで星にしてもらったと言われています」,post,"{""Gem"": 0}"
松井17「〜この星座はぎょしゃ座といいます」,post,"{""Aur"": 1}"
島崎18「〜残念ながら子山羊と馭者には何の関係もないんですよ」,post,"{""Aur"": 0}"
島崎19「この星は“アルデバラン”という星で、おうし座の目の位置にあります。<続く>」,「おうし座の」,"{""Tau"": 1}"
「この赤くて明るいアルデバランを目印にアルファベットのVの字を見つけることができます。見つけられましたか？これは牡牛の顔にあたる部分です」,post,"{""Tau"": 0}"
島崎20「さて、冬の夜空で重要な星座を紹介してきました。オリオン座、おおいぬ座、こいぬ座、ふたご座、ぎょしゃ座、おうし座です」,オリオン座,"{""Ori"": 1}"
島崎20「さて、冬の夜空で重要な星座を紹介してきました。オリオン座、おおいぬ座、こいぬ座、ふたご座、ぎょしゃ座、おうし座です」,おおいぬ座の,"{""CMa"": 1}"
島崎20「さて、冬の夜空で重要な星座を紹介してきました。オリオン座、おおいぬ座、こいぬ座、ふたご座、ぎょしゃ座、おうし座です」,こいぬ座の,"{""CMi"": 1}"
島崎20「さて、冬の夜空で重要な星座を紹介してきました。オリオン座、おおいぬ座、こいぬ座、ふたご座、ぎょしゃ座、おうし座です」,ふたご座,"{""Gem"": 1}"
島崎20「さて、冬の夜空で重要な星座を紹介してきました。オリオン座、おおいぬ座、こいぬ座、ふたご座、ぎょしゃ座、おうし座です」,ぎょしゃ座,"{""Aur"": 1}"
島崎20「さて、冬の夜空で重要な星座を紹介してきました。オリオン座、おおいぬ座、こいぬ座、ふたご座、ぎょしゃ座、おうし座です」,おうし座,"{""Tau"": 1}"
島崎21「〜“ダイヤモンド”という名前はぴったりですね」,,"{""Ori"": 0, ""CMa"": 0, ""CMi"": 0, ""Gem"": 0, ""Aur"": 0, ""Tau"": 0}"
